Kunta,Autot,Henkilöautot,Pakettiautot,Kuorma-autot,Linja-autot,Erikoisautot,Moottoripyörät,Kolmi- tai nelipyörä,Mopot,Kevyet nelipyörät,Nelipyörät,Moottorikelkat,Traktorit,Moottorityökoneet
Laitila,6 764,5 268,1 093,372,24,7,275,6,278,25,13,12,2 271,190
Lieto,14 405,12 201,1 538,635,21,10,756,4,615,28,20,33,2 051,290
Loimaa,12 063,9 790,1 704,522,37,10,680,7,464,30,26,47,3 866,418
Marttila,1 660,1 286,272,98,.,4,146,2,74,3,4,10,727,42
Masku,7 219,6 125,815,270,4,5,407,3,351,17,14,25,1 136,80
Mynämäki,6 025,4 965,827,213,15,5,350,2,236,3,17,14,1 976,118
Naantali,13 342,11 709,1 337,285,4,7,664,5,504,27,24,41,1 414,211
Nousiainen,3 622,3 077,441,97,3,4,256,.,201,10,12,14,977,56
Oripää,1 213,894,175,123,18,3,63,.,94,.,3,12,491,53
Paimio,8 206,7 053,907,234,9,3,357,1,312,8,5,20,1 147,110
Parainen,10 609,8 880,1 409,298,11,11,379,4,542,11,15,25,2 181,179
Pyhäranta,1 592,1 323,217,51,.,1,82,3,67,4,2,7,542,24
Pöytyä,6 432,5 176,959,267,18,12,350,1,344,7,11,39,2 436,159
Raisio,16 536,14 814,1 439,267,10,6,907,3,516,24,19,32,597,125
Rusko,4 896,3 958,645,289,2,2,252,.,183,11,8,18,747,161
Salo,36 852,31 056,4 399,1 197,171,29,1 835,6,1 454,157,57,114,7 299,590
Sauvo,2 357,1 884,365,99,7,2,107,.,104,1,6,13,817,44
Somero,6 895,5 432,1 111,329,14,9,309,3,323,8,9,37,2 567,215
Taivassalo,1 411,1 084,259,64,2,2,67,.,49,9,10,29,593,55
Turku,93 443,83 915,6 935,1 906,616,71,3 973,12,2 573,118,55,163,3 190,922
Uusikaupunki,10 588,8 834,1 409,318,12,15,440,2,365,28,26,59,2 419,184
Vehmaa,1 946,1 474,344,110,13,5,79,.,69,.,3,6,728,33
Eura,9 128,7 296,1 302,493,28,9,452,7,497,13,15,53,2 393,272
Eurajoki,7 244,6 011,980,234,11,8,342,2,398,17,14,52,1 913,181
Harjavalta,5 126,4 296,567,248,11,4,221,.,169,10,8,19,614,142
Huittinen,7 944,6 132,1 279,502,21,10,382,10,292,22,15,35,2 378,279
Jämijärvi,1 485,1 166,228,87,4,.,53,.,55,10,1,50,703,41
Kankaanpää,9 409,7 487,1 432,452,30,8,390,5,306,25,13,137,2 968,415
Karvia,1 992,1 514,352,117,6,3,89,.,68,6,3,37,1 198,75
Kokemäki,5 644,4 479,799,350,14,2,282,.,248,18,5,30,1 782,166
Merikarvia,2 125,1 670,346,101,5,3,72,1,113,3,4,32,798,78
Nakkila,4 046,3 356,486,199,4,1,204,.,189,22,8,18,970,109
Pomarkku,1 539,1 219,221,88,8,3,54,1,71,1,1,11,592,66
Pori,54 063,46 570,5 556,1 731,165,41,2 374,9,1 779,240,85,237,5 113,962
Rauma,25 718,22 060,2 954,665,17,22,1 232,9,1 156,64,38,71,2 918,693
Siikainen,1 086,831,211,41,3,.,33,.,51,1,2,17,619,27
Säkylä,5 736,4 494,919,288,32,3,358,2,264,8,9,63,1 790,222
Ulvila,9 243,7 879,1 013,339,7,5,425,.,416,56,9,38,1 432,160
Kanta-Häme,112 912,96 910,12 095,3 566,233,108,6 268,24,4 230,234,151,666,16 176,2 235
Forssa,11 092,9 357,1 200,501,27,7,576,2,373,21,17,33,1 413,313
Hattula,7 171,6 022,919,208,15,7,509,3,263,25,11,69,1 088,81
Hausjärvi,5 809,5 004,662,140,.,3,419,.,256,13,18,51,1 255,79
Humppila,1 670,1 365,245,55,1,4,88,.,76,2,1,8,619,140
Hämeenlinna,41 707,36 448,3 992,1 118,101,48,2 013,6,1 434,122,41,262,4 587,804
Janakkala,11 635,9 927,1 278,384,35,11,726,2,501,9,13,73,1 769,218
Jokioinen,3 842,3 227,486,121,5,3,227,.,172,6,6,20,928,70
Loppi,6 421,5 138,935,319,25,4,406,1,297,7,5,54,1 558,156
Riihimäki,17 070,15 086,1 481,486,3,14,962,3,560,22,26,59,802,254
Tammela,4 631,3 852,608,153,13,5,246,4,206,5,11,27,1 393,79
Ypäjä,1 864,1 484,289,81,8,2,96,3,92,2,2,10,764,41
Akaa,11 706,10 092,1 299,290,17,8,593,3,420,17,22,58,1 327,157
Hämeenkyrö,7 742,6 488,933,296,14,11,471,1,333,18,14,85,1 826,181
Ikaalinen,4 944,4 010,710,198,18,8,219,.,188,10,7,70,1 584,123
Juupajoki,1 384,1 085,219,77,.,3,105,.,58,2,1,27,435,82
Kangasala,21 667,18 933,1 982,699,47,6,1 232,9,760,88,35,206,2 136,359
Kihniö,1 414,1 086,261,58,8,1,68,.,68,12,4,27,615,49
Kuhmoinen,1 593,1 285,244,62,1,1,54,.,76,.,3,45,595,51
Lempäälä,16 326,14 311,1 404,562,41,8,902,3,563,60,25,101,1 408,355
Mänttä-Vilppula,6 587,5 612,699,271,2,3,346,1,230,7,10,72,1 084,185
Nokia,22 814,20 221,1 964,602,11,16,1 315,10,724,119,34,106,1 672,227
Orivesi,6 395,5 352,824,189,27,3,361,1,232,9,13,98,1 282,150
Parkano,5 059,3 878,820,283,67,11,182,.,168,31,7,66,1 443,211
Pirkkala,13 599,11 287,1 674,621,12,5,671,2,355,62,16,98,671,594
